wav_path,status,native_sr_hz,duration_s,n_segments,resampled,error_message
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528185000.wav,ok,288000,60.0,11,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528185100.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528185200.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528185300.wav,ok,288000,59.99,11,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528185400.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528185500.wav,ok,288000,60.0,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528185600.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528185700.wav,ok,288000,60.0,11,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528185800.wav,ok,288000,60.02,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528185900.wav,ok,288000,60.0,11,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528190000.wav,ok,288000,60.0,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528190100.wav,ok,288000,60.0,11,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528190200.wav,ok,288000,60.01,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528190300.wav,ok,288000,60.0,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528190400.wav,ok,288000,60.0,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528190500.wav,ok,288000,60.0,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528190600.wav,ok,288000,60.0,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528190700.wav,ok,288000,60.02,12,True,
D:\IM-23-ARBAS\2024.05.28_ARBAS\Soundtrap 6338\6338.240528190800.wav,ok,288000,59.99,11,True,
